St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  798 1085 1642]
40,50,20,Mode,40,[   0  867 1131 1642]
40,50,20,Median,40,[   0  567  867 1085 1642]
40,50,20,Mode,40,[   0  664  867 1131 1642]
40,50,20,Median,40,[   0  567  867 1085 1642]
40,50,20,Mode,40,[   0  664  867 1131 1642]
40,50,20,Median,40,[   0  567  867 1128 1642]
40,50,20,Mode,40,[   0  664  867 1131 1642]
40,50,20,Median,40,[   0  544  867 1128 1642]
40,50,20,Mode,40,[   0  522  867 1131 1642]
40,50,20,Median,40,[   0  544  867 1014 1085 1131 1642]
40,50,20,Mode,40,[   0  522  867 1014 1085 1131 1642]
40,50,20,Median,40,[   0  566  867 1014 1085 1131 1642]
40,50,20,Mode,40,[   0  522  867 1014 1085 1131 1642]
40,50,20,Median,40,[   0  566  867 1014 1085 1131 1642]
40,50,20,Mode,40,[   0  522  867 1014 1085 1131 1642]
40,50,20,Median,40,[   0  566  867  951 1085 1131 1642]
40,50,20,Mode,40,[   0  522  867  951 1085 1131 1642]
