St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1458 2017]
40,50,20,Mode,40,[   0  577 2017]
40,50,20,Median,40,[   0 1186 2017]
40,50,20,Mode,40,[   0  577 2017]
40,50,20,Median,40,[   0  261  577 2017]
40,50,20,Mode,40,[   0  261  577 2017]
40,50,20,Median,40,[   0  179  577 2017]
40,50,20,Mode,40,[   0  261  577 2017]
40,50,20,Median,40,[   0  179  314  577 1729 2017]
40,50,20,Mode,40,[   0  261  577 2017]
40,50,20,Median,40,[   0  179  314  577 1079 1186 1729 2017]
40,50,20,Mode,40,[   0  261  577 1079 1186 2017]
40,50,20,Median,40,[   0  261  369  577 1079 1186 2017]
40,50,20,Mode,40,[   0  261  398  577 1079 1186 2017]
40,50,20,Median,40,[   0  261  369  577 1079 1186 2017]
40,50,20,Mode,40,[   0  261  398  577 1079 1186 2017]
40,50,20,Median,40,[   0  261  369  577 1079 1186 1684 1751 2017]
40,50,20,Mode,40,[   0  261  398  577 1079 1186 1684 1751 2017]
