St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  512  918 1180]
40,50,20,Mode,40,[   0  646  736 1180]
40,50,20,Median,40,[   0  247  962 1180]
40,50,20,Mode,40,[   0  284 1034 1180]
40,50,20,Median,40,[   0  465  736  962 1180]
40,50,20,Mode,40,[   0  465  736 1034 1180]
40,50,20,Median,40,[   0  736  962 1034 1180]
40,50,20,Mode,40,[   0  736  962 1034 1180]
40,50,20,Median,40,[   0  736  962 1034 1180]
40,50,20,Mode,40,[   0  736  962 1034 1180]
40,50,20,Median,40,[   0  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  465  646  736  962 1034 1180]
40,50,20,Median,40,[   0  465  646  736  962 1034 1180]
40,50,20,Mode,40,[   0  465  646  736  962 1034 1180]
