St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  122 1655 1810]
40,50,20,Mode,40,[   0  122 1730 1810]
40,50,20,Median,40,[   0  122 1730 1810]
40,50,20,Mode,40,[   0  122 1730 1810]
40,50,20,Median,40,[   0  122  356 1079 1730 1810]
40,50,20,Mode,40,[   0  122  356 1730 1810]
40,50,20,Median,40,[   0  122  356 1730 1810]
40,50,20,Mode,40,[   0  122  356 1730 1810]
40,50,20,Median,40,[   0  122  356 1730 1810]
40,50,20,Mode,40,[   0  122  356 1730 1810]
40,50,20,Median,40,[   0  122  356 1491 1730 1810]
40,50,20,Mode,40,[   0  122  356 1491 1730 1810]
40,50,20,Median,40,[   0  122  356 1491 1730 1810]
40,50,20,Mode,40,[   0  122  356 1491 1730 1810]
40,50,20,Median,40,[   0  122  356 1079 1251 1491 1655 1730 1810]
40,50,20,Mode,40,[   0  122  356 1491 1730 1810]
40,50,20,Median,40,[   0  122  356 1079 1251 1491 1655 1730 1810]
40,50,20,Mode,40,[   0  122  356 1491 1730 1810]
