St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  322  653 1046]
40,50,20,Mode,40,[   0  118  498 1046]
40,50,20,Median,40,[   0  118  387  669 1046]
40,50,20,Mode,40,[   0  118  387 1046]
40,50,20,Median,40,[   0  118  387  595  845 1046]
40,50,20,Mode,40,[   0  118  387  498 1046]
40,50,20,Median,40,[   0  118  387  498  653  845 1046]
40,50,20,Mode,40,[   0  118  387  498  653  845 1046]
40,50,20,Median,40,[   0  118  498  612  845 1046]
40,50,20,Mode,40,[   0  118  498  746  845 1046]
40,50,20,Median,40,[   0  118  322  387  498  612  744  845 1046]
40,50,20,Mode,40,[   0  118  322  387  498  746  845 1046]
40,50,20,Median,40,[   0  118  196  322  387  498  612  744  845 1046]
40,50,20,Mode,40,[   0  118  196  322  387  498  746  845 1046]
40,50,20,Median,40,[   0  118  196  322  387  498  604  653  744  845 1046]
40,50,20,Mode,40,[   0  118  196  322  387  498  595  653  746  845 1046]
40,50,20,Median,40,[   0  118  196  322  387  498  604  653  744  845 1046]
40,50,20,Mode,40,[   0  118  196  322  387  498  595  653  746  845 1046]
