St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  716 1210 1465]
40,50,20,Mode,40,[   0  716 1210 1465]
40,50,20,Median,40,[   0  785 1210 1465]
40,50,20,Mode,40,[   0  716 1210 1465]
40,50,20,Median,40,[   0  785 1210 1465]
40,50,20,Mode,40,[   0  716 1210 1465]
40,50,20,Median,40,[   0  716  996 1210 1465]
40,50,20,Mode,40,[   0  716 1210 1465]
40,50,20,Median,40,[   0  716  996 1210 1465]
40,50,20,Mode,40,[   0  716 1210 1465]
40,50,20,Median,40,[   0  716  993 1078 1210 1465]
40,50,20,Mode,40,[   0  716  993 1078 1210 1465]
40,50,20,Median,40,[   0  716  993 1078 1210 1465]
40,50,20,Mode,40,[   0  716  993 1078 1210 1465]
40,50,20,Median,40,[   0  716  993 1078 1210 1465]
40,50,20,Mode,40,[   0  716  993 1078 1210 1465]
40,50,20,Median,40,[   0  716  785  862  993 1078 1210 1465]
40,50,20,Mode,40,[   0  716  785  862  993 1078 1210 1465]
