St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  312  877 1180]
40,50,20,Mode,40,[   0  326  955 1180]
40,50,20,Median,40,[   0  312  682  955 1180]
40,50,20,Mode,40,[   0  326  682  955 1180]
40,50,20,Median,40,[   0  157  326  682  955 1180]
40,50,20,Mode,40,[   0  157  326  682  955 1180]
40,50,20,Median,40,[   0  157  326  682  955 1180]
40,50,20,Mode,40,[   0  157  326  682  955 1180]
40,50,20,Median,40,[   0  157  326  682  787  955 1180]
40,50,20,Mode,40,[   0  157  326  682  787  955 1180]
40,50,20,Median,40,[   0  157  326  682  787  955 1180]
40,50,20,Mode,40,[   0  157  326  682  787  955 1180]
40,50,20,Median,40,[   0  157  326  682  787  955 1014 1093 1180]
40,50,20,Mode,40,[   0  157  326  682  787  955 1014 1093 1180]
40,50,20,Median,40,[   0  157  326  450  618  682  787  955 1014 1093 1180]
40,50,20,Mode,40,[   0  157  326  450  618  682  787  955 1014 1093 1180]
40,50,20,Median,40,[   0  157  326  450  618  682  787  955 1014 1093 1180]
40,50,20,Mode,40,[   0  157  326  450  618  682  787  955 1014 1093 1180]
