St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  367  842 1046]
40,50,20,Mode,40,[   0  119  842 1046]
40,50,20,Median,40,[   0  119  503  842 1046]
40,50,20,Mode,40,[   0  119  503  842 1046]
40,50,20,Median,40,[   0  119  842  945 1046]
40,50,20,Mode,40,[   0  119  842  945 1046]
40,50,20,Median,40,[   0  119  842  945 1046]
40,50,20,Mode,40,[   0  119  842  945 1046]
40,50,20,Median,40,[   0  119  561  708  842  945 1046]
40,50,20,Mode,40,[   0  119  503  708  842  945 1046]
40,50,20,Median,40,[   0  119  246  367  561  708  842  945 1046]
40,50,20,Mode,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Median,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Mode,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Median,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Mode,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Median,40,[   0  119  246  367  503  708  842  945 1046]
40,50,20,Mode,40,[   0  119  246  367  503  708  842  945 1046]
