St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  397  977 1264]
40,50,20,Mode,40,[   0  397 1264]
40,50,20,Median,40,[   0  397  844 1169 1264]
40,50,20,Mode,40,[   0  397  844 1169 1264]
40,50,20,Median,40,[   0  102  404  844 1169 1264]
40,50,20,Mode,40,[   0  102  397  844 1169 1264]
40,50,20,Median,40,[   0  102  404  844 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844 1060 1169 1264]
40,50,20,Median,40,[   0  102  397  844 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844 1060 1169 1264]
40,50,20,Median,40,[   0  102  397  844 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844 1060 1169 1264]
40,50,20,Median,40,[   0  102  397  844  952 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844  952 1060 1169 1264]
40,50,20,Median,40,[   0  102  397  844  952 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844  952 1060 1169 1264]
40,50,20,Median,40,[   0  102  397  844  952 1060 1169 1264]
40,50,20,Mode,40,[   0  102  397  844  952 1060 1169 1264]
