St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  326 1537 2017]
40,50,20,Mode,40,[   0  326 1458 2017]
40,50,20,Median,40,[   0 1092 1696 2017]
40,50,20,Mode,40,[   0 1092 1458 2017]
40,50,20,Median,40,[   0  532 1092 1696 2017]
40,50,20,Mode,40,[   0  326  532 1092 1458 2017]
40,50,20,Median,40,[   0  532 1092 1458 2017]
40,50,20,Mode,40,[   0  326  532 1092 1458 2017]
40,50,20,Median,40,[   0  840 1092 1458 2017]
40,50,20,Mode,40,[   0  326  532  840 1092 1458 2017]
40,50,20,Median,40,[   0  840 1092 1458 2017]
40,50,20,Mode,40,[   0  326  532  840 1092 1458 1975 2017]
40,50,20,Median,40,[   0  110  326  532  840 1092 1458 1975 2017]
40,50,20,Mode,40,[   0  110  326  532  840 1092 1458 1975 2017]
40,50,20,Median,40,[   0  110  326  532  595  840 1092 1458 2017]
40,50,20,Mode,40,[   0  110  326  532  595  840 1092 1458 2017]
40,50,20,Median,40,[   0  110  326  532  595  840 1092 1458 1537 1696 2017]
40,50,20,Mode,40,[   0  110  326  532  595  840 1092 1458 1537 1696 2017]
