St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  209  682 1046]
40,50,20,Mode,40,[   0  209 1046]
40,50,20,Median,40,[   0  209  682  789 1046]
40,50,20,Mode,40,[   0  209  682  789 1046]
40,50,20,Median,40,[   0  209  543  682  789 1046]
40,50,20,Mode,40,[   0  209  543  682  789 1046]
40,50,20,Median,40,[   0  209  543  682  789 1046]
40,50,20,Mode,40,[   0  209  543  682  789  977 1046]
40,50,20,Median,40,[   0  210  543  682  789 1046]
40,50,20,Mode,40,[   0  209  543  682  789  977 1046]
40,50,20,Median,40,[   0  210  543  682  789  977 1046]
40,50,20,Mode,40,[   0  209  543  682  789  853  977 1046]
40,50,20,Median,40,[   0  210  543  682  789  977 1046]
40,50,20,Mode,40,[   0  209  543  682  789  853  977 1046]
40,50,20,Median,40,[   0  210  543  682  789  977 1046]
40,50,20,Mode,40,[   0  209  543  682  789  853  977 1046]
40,50,20,Median,40,[   0  209  543  682  789  977 1046]
40,50,20,Mode,40,[   0  209  543  682  789  853  977 1046]
