St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  574 1014 1642]
40,50,20,Mode,40,[   0  574 1642]
40,50,20,Median,40,[   0  574  815 1085 1642]
40,50,20,Mode,40,[   0  574  815 1085 1642]
40,50,20,Median,40,[   0   65  574  815 1085 1642]
40,50,20,Mode,40,[   0   65  574  815 1085 1642]
40,50,20,Median,40,[   0   65  574  815 1085 1642]
40,50,20,Mode,40,[   0   65  574  815 1085 1642]
40,50,20,Median,40,[   0   65  574  815 1094 1642]
40,50,20,Mode,40,[   0   65  574  815 1014 1642]
40,50,20,Median,40,[   0   65  574  815  880 1014 1094 1642]
40,50,20,Mode,40,[   0   65  574  815  880 1014 1642]
40,50,20,Median,40,[   0   65  574  815  880 1014 1094 1642]
40,50,20,Mode,40,[   0   65  574  815  880 1014 1642]
40,50,20,Median,40,[   0  574  880 1014 1085 1127 1642]
40,50,20,Mode,40,[   0  574  880 1014 1085 1127 1642]
40,50,20,Median,40,[   0  574  880 1014 1085 1127 1642]
40,50,20,Mode,40,[   0  574  880 1014 1085 1127 1642]
