St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  718 1046]
40,50,20,Mode,40,[   0  478  682 1046]
40,50,20,Median,40,[   0   59  478 1046]
40,50,20,Mode,40,[   0   48  478  682 1046]
40,50,20,Median,40,[   0   59  417  681 1046]
40,50,20,Mode,40,[   0   48  478  682 1046]
40,50,20,Median,40,[   0   48  455  681 1046]
40,50,20,Mode,40,[   0   48  478  682 1046]
40,50,20,Median,40,[   0   48  373  478  682 1046]
40,50,20,Mode,40,[   0   48  373  478  682 1046]
40,50,20,Median,40,[   0   48  373  478  576  682 1046]
40,50,20,Mode,40,[   0   48  373  478  576  682  901 1046]
40,50,20,Median,40,[   0   48  373  478  576  682  901  962 1046]
40,50,20,Mode,40,[   0   48  373  478  576  682  901  970 1046]
40,50,20,Median,40,[   0   48  121  201  373  478  576  682  901  962 1046]
40,50,20,Mode,40,[   0   48  121  201  373  478  576  682  901  970 1046]
40,50,20,Median,40,[   0   48  121  201  373  478  576  682  901  962 1046]
40,50,20,Mode,40,[   0   48  121  201  373  478  576  682  901  970 1046]
