St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   61  900 1562]
40,50,20,Mode,40,[   0   60 1562]
40,50,20,Median,40,[   0   61  869 1562]
40,50,20,Mode,40,[   0   60 1562]
40,50,20,Median,40,[   0   61  803  869 1562]
40,50,20,Mode,40,[   0  803  869 1562]
40,50,20,Median,40,[   0   60  122  803  869 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1562]
40,50,20,Median,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Median,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Median,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Median,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Median,40,[   0   60  122  803  869 1229 1280 1562]
40,50,20,Mode,40,[   0   60  122  803  869 1229 1280 1562]
