St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  495  731 1046]
40,50,20,Mode,40,[   0  553  921 1046]
40,50,20,Median,40,[   0  184  553  921 1046]
40,50,20,Mode,40,[   0  184  553  921 1046]
40,50,20,Median,40,[   0  184  553  679  921 1046]
40,50,20,Mode,40,[   0  184  553  679  921 1046]
40,50,20,Median,40,[   0  184  340  553  679  921 1046]
40,50,20,Mode,40,[   0  184  340  553  679  921 1046]
40,50,20,Median,40,[   0  184  340  495  553  921 1046]
40,50,20,Mode,40,[   0  184  340  495  553  921 1046]
40,50,20,Median,40,[   0  184  340  495  553  679  731  921 1046]
40,50,20,Mode,40,[   0  184  340  495  553  679  731  921 1046]
40,50,20,Median,40,[   0  184  340  495  553  679  731  921  971 1046]
40,50,20,Mode,40,[   0  184  340  495  553  679  731  921  971 1046]
40,50,20,Median,40,[   0  184  340  495  553  679  731  921  971 1046]
40,50,20,Mode,40,[   0  184  340  495  553  679  731  921  971 1046]
40,50,20,Median,40,[   0  184  340  495  553  679  731  921  971 1046]
40,50,20,Mode,40,[   0  184  340  495  553  679  731  921  971 1046]
