St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  326 1875]
40,50,20,Mode,40,[   0  360 1875]
40,50,20,Median,40,[   0  360 1875]
40,50,20,Mode,40,[   0  360 1875]
40,50,20,Median,40,[   0  360 1875]
40,50,20,Mode,40,[   0  360 1875]
40,50,20,Median,40,[   0  360 1875]
40,50,20,Mode,40,[   0  360 1875]
40,50,20,Median,40,[   0  197  251  360 1513 1875]
40,50,20,Mode,40,[   0  197  251  360 1466 1875]
40,50,20,Median,40,[   0  197  251  360 1513 1875]
40,50,20,Mode,40,[   0  197  251  360 1466 1875]
40,50,20,Median,40,[   0  197  251  360 1513 1875]
40,50,20,Mode,40,[   0  197  251  360 1466 1875]
40,50,20,Median,40,[   0  197  251  360 1513 1875]
40,50,20,Mode,40,[   0  197  251  360 1513 1875]
40,50,20,Median,40,[   0  197  251  360 1513 1875]
40,50,20,Mode,40,[   0  197  251  360 1513 1875]
