St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 858 922]
40,50,20,Mode,40,[  0 505 858 922]
40,50,20,Median,40,[  0 505 858 922]
40,50,20,Mode,40,[  0 378 505 858 922]
40,50,20,Median,40,[  0 505 858 922]
40,50,20,Mode,40,[  0 378 505 858 922]
40,50,20,Median,40,[  0 505 858 922]
40,50,20,Mode,40,[  0 378 505 858 922]
40,50,20,Median,40,[  0 308 378 505 858 922]
40,50,20,Mode,40,[  0 308 378 505 858 922]
40,50,20,Median,40,[  0 308 378 505 667 795 858 922]
40,50,20,Mode,40,[  0 308 378 505 667 795 858 922]
40,50,20,Median,40,[  0 308 378 505 667 795 858 922]
40,50,20,Mode,40,[  0 308 378 505 667 795 858 922]
40,50,20,Median,40,[  0 308 378 505 667 795 858 922]
40,50,20,Mode,40,[  0 308 378 505 667 795 858 922]
40,50,20,Median,40,[  0 308 378 505 667 795 858 922]
40,50,20,Mode,40,[  0 308 378 505 667 795 858 922]
