St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  389  677 1180]
40,50,20,Mode,40,[   0  389 1180]
40,50,20,Median,40,[   0  389  677 1062 1180]
40,50,20,Mode,40,[   0  389 1180]
40,50,20,Median,40,[   0  389  677 1062 1180]
40,50,20,Mode,40,[   0  389 1180]
40,50,20,Median,40,[   0  389  571  677 1062 1180]
40,50,20,Mode,40,[   0  334  389  571  677  958 1180]
40,50,20,Median,40,[   0  389  571  677 1062 1180]
40,50,20,Mode,40,[   0  389  571  677  958 1180]
40,50,20,Median,40,[   0  277  334  389  571  677 1180]
40,50,20,Mode,40,[   0  277  334  389  571  677  958 1180]
40,50,20,Median,40,[   0  277  334  389  571  677  802 1062 1180]
40,50,20,Mode,40,[   0  277  334  389  571  677  802  958 1180]
40,50,20,Median,40,[   0  277  334  389  571  677  802  958 1180]
40,50,20,Mode,40,[   0  277  334  389  571  677  802  958 1180]
40,50,20,Median,40,[   0  277  334  389  571  677  802  958 1180]
40,50,20,Mode,40,[   0  277  334  389  571  677  802  958 1180]
