St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  115 1180]
40,50,20,Mode,40,[   0  115 1180]
40,50,20,Median,40,[   0  115  571 1180]
40,50,20,Mode,40,[   0  115  571 1180]
40,50,20,Median,40,[   0  115  571  774 1024 1180]
40,50,20,Mode,40,[   0  115  571  816  987 1180]
40,50,20,Median,40,[   0  261  571  774 1024 1180]
40,50,20,Mode,40,[   0  115  261  571  816  987 1180]
40,50,20,Median,40,[   0  261  571  774  987 1180]
40,50,20,Mode,40,[   0  115  261  571  816  987 1180]
40,50,20,Median,40,[   0  261  571  774  987 1180]
40,50,20,Mode,40,[   0  115  261  571  816  987 1180]
40,50,20,Median,40,[   0   58  115  261  571  774  987 1180]
40,50,20,Mode,40,[   0   58  115  261  571  816  987 1180]
40,50,20,Median,40,[   0   58  115  261  422  571  774  987 1180]
40,50,20,Mode,40,[   0   58  115  261  422  571  816  987 1180]
40,50,20,Median,40,[   0   58  115  261  422  571  771  987 1180]
40,50,20,Mode,40,[   0   58  115  261  422  571  771  987 1180]
