St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  124  682 1046]
40,50,20,Mode,40,[   0   46 1046]
40,50,20,Median,40,[   0  124  928 1046]
40,50,20,Mode,40,[   0   46 1046]
40,50,20,Median,40,[   0   46  200 1046]
40,50,20,Mode,40,[   0   46  200  682 1046]
40,50,20,Median,40,[   0   46  200  549  682  928 1046]
40,50,20,Mode,40,[   0   46  200  485  682 1046]
40,50,20,Median,40,[   0   46  200  549  682  849  976 1046]
40,50,20,Mode,40,[   0   46  200  485  682  864  976 1046]
40,50,20,Median,40,[   0   46  200  556  682  849  976 1046]
40,50,20,Mode,40,[   0   46  200  485  682  864  976 1046]
40,50,20,Median,40,[   0   46  124  200  556  682  849  976 1046]
40,50,20,Mode,40,[   0   46  124  200  485  581  682  864  976 1046]
40,50,20,Median,40,[   0   46  124  200  556  682  849  976 1046]
40,50,20,Mode,40,[   0   46  124  200  485  581  682  864  976 1046]
40,50,20,Median,40,[   0   46  124  200  556  682  849  976 1046]
40,50,20,Mode,40,[   0   46  124  200  485  581  682  864  976 1046]
