St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  898  943 1046]
40,50,20,Mode,40,[   0  898  943 1046]
40,50,20,Median,40,[   0  898  943 1046]
40,50,20,Mode,40,[   0  898  943 1046]
40,50,20,Median,40,[   0  898  943 1046]
40,50,20,Mode,40,[   0  898  943 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
40,50,20,Median,40,[   0  942  987 1046]
40,50,20,Mode,40,[   0  942  987 1046]
