St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  892 1528 2759]
40,50,20,Mode,40,[   0 1089 1368 2759]
40,50,20,Median,40,[   0  546 1368 2293 2759]
40,50,20,Mode,40,[   0  546 1368 2293 2759]
40,50,20,Median,40,[   0  546 1089 1368 2293 2759]
40,50,20,Mode,40,[   0  546 1089 1368 2293 2759]
40,50,20,Median,40,[   0  546 1089 1368 1911 2293 2759]
40,50,20,Mode,40,[   0  546 1089 1368 2038 2293 2759]
40,50,20,Median,40,[   0  203  546 1089 1368 1911 2293 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 2038 2293 2759]
40,50,20,Median,40,[   0  203 1089 1368 1528 1911 2293 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1527 2038 2293 2759]
40,50,20,Median,40,[   0  203 1089 1368 1528 1911 2293 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1527 2038 2293 2759]
40,50,20,Median,40,[   0  203  546 1089 1368 1528 1839 2038 2293 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1527 2038 2293 2759]
40,50,20,Median,40,[   0  203 1089 1368 1528 2038 2293 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1527 2038 2293 2759]
