St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  577  919 1046]
40,50,20,Mode,40,[   0  681  841 1046]
40,50,20,Median,40,[   0   50  577  919 1046]
40,50,20,Mode,40,[   0   50  681  841 1046]
40,50,20,Median,40,[   0   50  841  959 1046]
40,50,20,Mode,40,[   0   50  681  841  959 1046]
40,50,20,Median,40,[   0   50  577  681  841  959 1046]
40,50,20,Mode,40,[   0   50  577  681  841  959 1046]
40,50,20,Median,40,[   0   50  577  681  841  959 1046]
40,50,20,Mode,40,[   0   50  577  681  841  959 1046]
40,50,20,Median,40,[   0   50  577  681  841  959 1046]
40,50,20,Mode,40,[   0   50  577  681  841  959 1046]
40,50,20,Median,40,[   0   50  577  681  841  919  986 1046]
40,50,20,Mode,40,[   0   50  577  681  841  919  986 1046]
40,50,20,Median,40,[   0   50  577  681  841  959 1046]
40,50,20,Mode,40,[   0   50  577  681  841  959 1046]
40,50,20,Median,40,[   0   50  577  681  841  919  986 1046]
40,50,20,Mode,40,[   0   50  577  681  841  919  986 1046]
