St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1507 2053]
40,50,20,Mode,40,[   0 1476 2053]
40,50,20,Median,40,[   0 1507 2053]
40,50,20,Mode,40,[   0 1476 2053]
40,50,20,Median,40,[   0  379 1476 1544 2053]
40,50,20,Mode,40,[   0  400 1476 1545 2053]
40,50,20,Median,40,[   0  379 1476 1545 2053]
40,50,20,Mode,40,[   0  400 1476 1545 2053]
40,50,20,Median,40,[   0  173  400 1476 1545 2053]
40,50,20,Mode,40,[   0  173  400 1476 1545 2053]
40,50,20,Median,40,[   0  173  400 1476 1545 2053]
40,50,20,Mode,40,[   0  173  400 1476 1545 2053]
40,50,20,Median,40,[   0  173  400 1476 1544 2053]
40,50,20,Mode,40,[   0  173  400 1476 1545 2053]
40,50,20,Median,40,[   0  173  400 1476 1545 2053]
40,50,20,Mode,40,[   0  173  400 1476 1545 2053]
40,50,20,Median,40,[   0  173  400 1476 1545 2053]
40,50,20,Mode,40,[   0  173  400 1476 1545 2053]
