St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  593 1095 1632]
40,50,20,Mode,40,[   0  593 1095 1632]
40,50,20,Median,40,[   0  593 1323 1632]
40,50,20,Mode,40,[   0  593 1095 1632]
40,50,20,Median,40,[   0  593 1323 1632]
40,50,20,Mode,40,[   0  593 1095 1632]
40,50,20,Median,40,[   0  593  940 1348 1632]
40,50,20,Mode,40,[   0  593  940 1323 1632]
40,50,20,Median,40,[   0  593  940 1095 1219 1392 1632]
40,50,20,Mode,40,[   0  593  940 1095 1219 1323 1632]
40,50,20,Median,40,[   0  593  940 1095 1219 1323 1392 1632]
40,50,20,Mode,40,[   0  593  940 1095 1219 1323 1392 1632]
40,50,20,Median,40,[   0  593  940  991 1095 1219 1323 1392 1632]
40,50,20,Mode,40,[   0  593  940  991 1095 1219 1323 1392 1632]
40,50,20,Median,40,[   0  593  940  991 1095 1219 1323 1392 1632]
40,50,20,Mode,40,[   0  235  398  593  940  991 1095 1219 1323 1392 1632]
40,50,20,Median,40,[   0  593  940  991 1095 1219 1323 1392 1632]
40,50,20,Mode,40,[   0  235  398  593  940  991 1095 1219 1323 1392 1632]
