St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  134  892 1180]
40,50,20,Mode,40,[   0  134 1090 1180]
40,50,20,Median,40,[   0  702 1090 1180]
40,50,20,Mode,40,[   0  684 1090 1180]
40,50,20,Median,40,[   0   64  190  702 1090 1180]
40,50,20,Mode,40,[   0   64  684 1090 1180]
40,50,20,Median,40,[   0   64  190  702 1090 1180]
40,50,20,Mode,40,[   0   64  328  684 1090 1180]
40,50,20,Median,40,[   0   64  251  684 1090 1180]
40,50,20,Mode,40,[   0   64  134  251  684 1090 1180]
40,50,20,Median,40,[   0   64  134  190  684 1090 1180]
40,50,20,Mode,40,[   0   64  134  190  684 1090 1180]
40,50,20,Median,40,[   0   64  134  190  684  745 1090 1180]
40,50,20,Mode,40,[   0   64  134  190  684  745  829 1090 1180]
40,50,20,Median,40,[   0   64  134  190  251  684  745 1090 1180]
40,50,20,Mode,40,[   0   64  134  190  251  684  745  829 1090 1180]
40,50,20,Median,40,[   0   64  134  190  684  745 1090 1180]
40,50,20,Mode,40,[   0   64  134  190  684  745  829 1090 1180]
