St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  799 1180]
40,50,20,Mode,40,[   0  648 1180]
40,50,20,Median,40,[   0  342 1043 1180]
40,50,20,Mode,40,[   0  648  993 1180]
40,50,20,Median,40,[   0  342  648  739 1043 1180]
40,50,20,Mode,40,[   0  648  711  993 1180]
40,50,20,Median,40,[   0  278  364 1180]
40,50,20,Mode,40,[   0  280  364  799  993 1180]
40,50,20,Median,40,[   0  278  364  572  648 1180]
40,50,20,Mode,40,[   0  280  364  572  648  799  993 1180]
40,50,20,Median,40,[   0  280  364  572  648 1180]
40,50,20,Mode,40,[   0  280  364  572  648  799  993 1180]
40,50,20,Median,40,[   0  280  364  572  648  799  993 1180]
40,50,20,Mode,40,[   0  280  364  572  648  799  993 1180]
40,50,20,Median,40,[   0  280  364  572  648  711  799  993 1180]
40,50,20,Mode,40,[   0  280  364  572  648  711  799  993 1180]
40,50,20,Median,40,[   0  280  364  572  648  711  799  993 1180]
40,50,20,Mode,40,[   0  280  364  572  648  711  799  993 1180]
