St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  210 1046]
40,50,20,Mode,40,[   0  190 1046]
40,50,20,Median,40,[   0  210  686 1046]
40,50,20,Mode,40,[   0  190 1046]
40,50,20,Median,40,[   0  190 1046]
40,50,20,Mode,40,[   0  190 1046]
40,50,20,Median,40,[   0  190  686  777 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
40,50,20,Median,40,[   0  190  686  777 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
40,50,20,Median,40,[   0  190  686  777  977 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
40,50,20,Median,40,[   0  190  686  777  977 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
40,50,20,Median,40,[   0  190  686  777  977 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
40,50,20,Median,40,[   0  190  686  777  977 1046]
40,50,20,Mode,40,[   0  190  686  777 1046]
