St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  393  892 1180]
40,50,20,Mode,40,[   0  808 1180]
40,50,20,Median,40,[   0  206  506 1180]
40,50,20,Mode,40,[   0  206  438  808 1180]
40,50,20,Median,40,[   0  206  817 1083 1180]
40,50,20,Mode,40,[   0  206  808 1083 1180]
40,50,20,Median,40,[   0  206  438  638  817 1083 1180]
40,50,20,Mode,40,[   0  206  438  638  808 1083 1180]
40,50,20,Median,40,[   0  205  290  638  817 1083 1180]
40,50,20,Mode,40,[   0  206  438  638  808 1083 1180]
40,50,20,Median,40,[   0  205  290  638  817 1083 1180]
40,50,20,Mode,40,[   0  206  438  638  808 1083 1180]
40,50,20,Median,40,[   0  205  290  638  817 1083 1180]
40,50,20,Mode,40,[   0  206  438  638  808 1083 1180]
40,50,20,Median,40,[   0  205  290  638  817 1083 1180]
40,50,20,Mode,40,[   0  206  506  638  808 1083 1180]
40,50,20,Median,40,[   0  205  290  638  808 1083 1180]
40,50,20,Mode,40,[   0  206  506  638  857 1083 1180]
