St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  265  841 1046]
40,50,20,Mode,40,[   0  124 1046]
40,50,20,Median,40,[   0  192  431 1046]
40,50,20,Mode,40,[   0  124  363  752 1046]
40,50,20,Median,40,[   0  431  752 1005 1046]
40,50,20,Mode,40,[   0  124  363  752 1005 1046]
40,50,20,Median,40,[   0  124  299  478  752 1005 1046]
40,50,20,Mode,40,[   0  124  478  752 1005 1046]
40,50,20,Median,40,[   0  124  265  363  486  752 1005 1046]
40,50,20,Mode,40,[   0  124  265  363  478  752 1005 1046]
40,50,20,Median,40,[   0  124  192  265  363  486  752 1005 1046]
40,50,20,Mode,40,[   0  124  192  265  363  478  752 1005 1046]
40,50,20,Median,40,[   0  124  192  265  363  486  752  910 1005 1046]
40,50,20,Mode,40,[   0  124  192  265  363  478  752  910 1005 1046]
40,50,20,Median,40,[   0  124  192  265  363  478  752  910 1005 1046]
40,50,20,Mode,40,[   0  124  192  265  363  478  752  910 1005 1046]
40,50,20,Median,40,[   0  124  192  265  363  478  752  813 1005 1046]
40,50,20,Mode,40,[   0  124  192  265  363  478  752  813 1005 1046]
