St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  937 1180]
40,50,20,Mode,40,[   0  393  938 1180]
40,50,20,Median,40,[   0  685  937 1180]
40,50,20,Mode,40,[   0  685  938 1180]
40,50,20,Median,40,[   0  164  393  685  937 1180]
40,50,20,Mode,40,[   0  685  938 1180]
40,50,20,Median,40,[   0  863  938 1180]
40,50,20,Mode,40,[   0  842  938 1180]
40,50,20,Median,40,[   0  863  938 1180]
40,50,20,Mode,40,[   0  842  938 1180]
40,50,20,Median,40,[   0  863  938 1180]
40,50,20,Mode,40,[   0  842  938 1180]
40,50,20,Median,40,[   0  863  938 1180]
40,50,20,Mode,40,[   0  842  938 1180]
40,50,20,Median,40,[   0  863  938 1180]
40,50,20,Mode,40,[   0  842  938 1180]
40,50,20,Median,40,[   0  887  938 1180]
40,50,20,Mode,40,[   0  887  938 1180]
