St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  375  888 1046]
40,50,20,Mode,40,[   0  375  888 1046]
40,50,20,Median,40,[   0   66  478 1046]
40,50,20,Mode,40,[   0   66 1046]
40,50,20,Median,40,[   0   66  375  552 1046]
40,50,20,Mode,40,[   0   66  375  478 1046]
40,50,20,Median,40,[   0   66  375  552  787  888 1046]
40,50,20,Mode,40,[   0   66  375  478  787  888 1046]
40,50,20,Median,40,[   0   66  552  787  888  962 1046]
40,50,20,Mode,40,[   0   66  375  478  787  888  962 1046]
40,50,20,Median,40,[   0   66  375  478  787  888  962 1046]
40,50,20,Mode,40,[   0   66  375  478  787  888  962 1046]
40,50,20,Median,40,[   0   66  375  478  552  630  787  888  962 1046]
40,50,20,Mode,40,[   0   66  375  478  787  888  962 1046]
40,50,20,Median,40,[   0   66  333  375  478  552  630  787  888  962 1046]
40,50,20,Mode,40,[   0   66  333  375  478  630  787  888  962 1046]
40,50,20,Median,40,[   0   66  333  375  478  552  630  787  888  962 1046]
40,50,20,Mode,40,[   0   66  333  375  478  630  787  888  962 1046]
