St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  401  975 1249]
40,50,20,Mode,40,[   0  401  975 1249]
40,50,20,Median,40,[   0  141  975 1249]
40,50,20,Mode,40,[   0  401  975 1249]
40,50,20,Median,40,[   0  401  709  975 1249]
40,50,20,Mode,40,[   0  401  709  975 1249]
40,50,20,Median,40,[   0  401  709  975 1249]
40,50,20,Mode,40,[   0  401  709  975 1080 1249]
40,50,20,Median,40,[   0  401  493  709  975 1249]
40,50,20,Mode,40,[   0  401  491  709  975 1249]
40,50,20,Median,40,[   0  141  258  401  493  709  975 1249]
40,50,20,Mode,40,[   0  141  258  401  491  709  975 1249]
40,50,20,Median,40,[   0  141  258  401  493  709  975 1249]
40,50,20,Mode,40,[   0  141  258  401  491  709  975 1249]
40,50,20,Median,40,[   0  141  258  401  493  709  975 1080 1140 1249]
40,50,20,Mode,40,[   0  141  258  401  491  709  975 1080 1140 1249]
40,50,20,Median,40,[   0  141  258  401  493  709  933  975 1080 1140 1249]
40,50,20,Mode,40,[   0  141  258  401  491  709  933  975 1080 1140 1249]
