St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1369 2824]
40,50,20,Mode,40,[   0 1369 2824]
40,50,20,Median,40,[   0  906 1662 2616 2824]
40,50,20,Mode,40,[   0  407 1369 2659 2824]
40,50,20,Median,40,[   0  906 1400 2616 2824]
40,50,20,Mode,40,[   0  407 1369 2659 2824]
40,50,20,Median,40,[   0  407 1030 1400 2616 2824]
40,50,20,Mode,40,[   0  407 1369 2659 2824]
40,50,20,Median,40,[   0  407 1030 1369 2073 2616 2824]
40,50,20,Mode,40,[   0  407 1369 2659 2824]
40,50,20,Median,40,[   0  407 1369 1509 2073 2616 2824]
40,50,20,Mode,40,[   0  407 1369 1509 2073 2659 2824]
40,50,20,Median,40,[   0  407 1369 1509 2073 2490 2659 2824]
40,50,20,Mode,40,[   0  407 1369 1509 2073 2490 2659 2824]
40,50,20,Median,40,[   0  623 1369 1509 2073 2490 2659 2824]
40,50,20,Mode,40,[   0  623 1369 1509 2073 2490 2659 2824]
40,50,20,Median,40,[   0  623 1369 1509 2073 2490 2659 2824]
40,50,20,Mode,40,[   0  623 1369 1509 2073 2490 2659 2824]
