St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  438 1363 2017]
40,50,20,Mode,40,[   0  705 1140 2017]
40,50,20,Median,40,[   0  438 1098 2017]
40,50,20,Mode,40,[   0  705 1140 1905 2017]
40,50,20,Median,40,[   0  424  705 2017]
40,50,20,Mode,40,[   0  389  705 2017]
40,50,20,Median,40,[   0  424  705 1494 1905 2017]
40,50,20,Mode,40,[   0  389  705 1514 1905 2017]
40,50,20,Median,40,[   0  424  705 1494 1905 2017]
40,50,20,Mode,40,[   0  389  705 1514 1905 2017]
40,50,20,Median,40,[   0  424  705 1494 1905 2017]
40,50,20,Mode,40,[   0  389  705 1514 1905 2017]
40,50,20,Median,40,[   0  389  705 1494 1905 2017]
40,50,20,Mode,40,[   0  389  582  705 1514 1905 2017]
40,50,20,Median,40,[   0  237  424  705 1494 1905 2017]
40,50,20,Mode,40,[   0  237  389  582  705 1514 1905 2017]
40,50,20,Median,40,[   0  237  424  705 1494 1905 2017]
40,50,20,Mode,40,[   0  237  424  705 1514 1905 2017]
