St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  146 1046]
40,50,20,Mode,40,[   0  146  842 1046]
40,50,20,Median,40,[   0  146  539  787 1046]
40,50,20,Mode,40,[   0  146  502 1046]
40,50,20,Median,40,[   0  146  502  612  787 1046]
40,50,20,Mode,40,[   0  146  502  612 1046]
40,50,20,Median,40,[   0   82  146  502  612  787 1046]
40,50,20,Mode,40,[   0   82  146  502  612 1046]
40,50,20,Median,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Mode,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Median,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Mode,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Median,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Mode,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Median,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Mode,40,[   0   82  146  502  612  764  842 1046]
40,50,20,Median,40,[   0   82  146  388  539  612  764  842 1046]
40,50,20,Mode,40,[   0   82  146  388  539  612  764  842 1046]
