St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  911 1180]
40,50,20,Mode,40,[   0  347  965 1180]
40,50,20,Median,40,[   0  347  569  965 1180]
40,50,20,Mode,40,[   0  347  569  965 1180]
40,50,20,Median,40,[   0  114  347  569  965 1180]
40,50,20,Mode,40,[   0  131  347  569  965 1180]
40,50,20,Median,40,[   0  114  347  569  888  988 1180]
40,50,20,Mode,40,[   0  131  347  569  911  965 1180]
40,50,20,Median,40,[   0  114  347  569 1180]
40,50,20,Mode,40,[   0  131  347  569  965 1180]
40,50,20,Median,40,[   0   54  131  347  569 1180]
40,50,20,Mode,40,[   0   59  131  347  569  965 1180]
40,50,20,Median,40,[   0   54  131  347  569  899  965 1180]
40,50,20,Mode,40,[   0   59  131  347  569  911  965 1180]
40,50,20,Median,40,[   0   54  131  347  569  899  965 1180]
40,50,20,Mode,40,[   0   59  131  347  569  911  965 1180]
40,50,20,Median,40,[   0   54  131  347  569  899  965 1180]
40,50,20,Mode,40,[   0   59  131  347  569  911  965 1180]
