St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1425 2019]
40,50,20,Mode,40,[   0  976 1493 2019]
40,50,20,Median,40,[   0  291 1693 2019]
40,50,20,Mode,40,[   0  291  976 1493 2019]
40,50,20,Median,40,[   0  877 1272 1836 2019]
40,50,20,Mode,40,[   0  976 1493 1693 2019]
40,50,20,Median,40,[   0  578  976 1272 1836 2019]
40,50,20,Mode,40,[   0  291  578  976 1493 1693 2019]
40,50,20,Median,40,[   0  237  578  976 1176 1493 1836 2019]
40,50,20,Mode,40,[   0  291  578  976 1176 1493 1693 2019]
40,50,20,Median,40,[   0  578  976 1493 1693 2019]
40,50,20,Mode,40,[   0  291  578  976 1176 1493 1693 2019]
40,50,20,Median,40,[   0  140  578  976 1176 1693 2019]
40,50,20,Mode,40,[   0  140  578  976 1176 1493 1693 2019]
40,50,20,Median,40,[   0  140  578  976 1176 1346 1493 1693 2019]
40,50,20,Mode,40,[   0  140  578  976 1176 1346 1493 1693 2019]
40,50,20,Median,40,[   0  140  578  976 1176 1346 1493 1693 2019]
40,50,20,Mode,40,[   0  140  578  976 1176 1346 1493 1693 2019]
