St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   66 1187 1419]
40,50,20,Mode,40,[   0   44 1187 1419]
40,50,20,Median,40,[   0   66  680 1187 1419]
40,50,20,Mode,40,[   0   44  680 1187 1419]
40,50,20,Median,40,[   0   66  680 1187 1419]
40,50,20,Mode,40,[   0   44  680 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
40,50,20,Median,40,[   0   66  608 1187 1419]
40,50,20,Mode,40,[   0   44  608 1187 1419]
