St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  258 1782 2020]
40,50,20,Mode,40,[   0  258 1937 2020]
40,50,20,Median,40,[   0  258 1770 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1770 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1770 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1770 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1770 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1768 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1755 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
40,50,20,Median,40,[   0  258 1755 1937 2020]
40,50,20,Mode,40,[   0  258 1755 1937 2020]
