St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  350 1911]
40,50,20,Mode,40,[   0  241 1566 1911]
40,50,20,Median,40,[   0  911 1566 1911]
40,50,20,Mode,40,[   0  241  842 1566 1911]
40,50,20,Median,40,[   0  241  911 1566 1911]
40,50,20,Mode,40,[   0  241  305  842 1566 1911]
40,50,20,Median,40,[   0  241  989 1566 1911]
40,50,20,Mode,40,[   0  241  305  989 1566 1911]
40,50,20,Median,40,[   0  118  241  414  842  989 1566 1911]
40,50,20,Mode,40,[   0  118  241  415  842  989 1566 1911]
40,50,20,Median,40,[   0  118  241  414  842  989 1566 1911]
40,50,20,Mode,40,[   0  118  241  415  842  989 1566 1911]
40,50,20,Median,40,[   0  118  241  414  718  842  989 1566 1911]
40,50,20,Mode,40,[   0  118  241  415  718  842  989 1566 1911]
40,50,20,Median,40,[   0  118  241  414  718  842  989 1566 1911]
40,50,20,Mode,40,[   0  118  241  415  718  842  989 1566 1911]
40,50,20,Median,40,[   0  118  241  350  415  718  842  989 1566 1911]
40,50,20,Mode,40,[   0  118  241  305  415  718  842  989 1566 1911]
