St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  966 1046]
40,50,20,Mode,40,[   0  966 1046]
40,50,20,Median,40,[   0  966 1046]
40,50,20,Mode,40,[   0  966 1046]
40,50,20,Median,40,[   0  530  694  966 1046]
40,50,20,Mode,40,[   0  530  694  966 1046]
40,50,20,Median,40,[   0  530  694  966 1046]
40,50,20,Mode,40,[   0  530  694  966 1046]
40,50,20,Median,40,[   0  128  257  530  694  966 1046]
40,50,20,Mode,40,[   0  128  257  530  694  966 1046]
40,50,20,Median,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Mode,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Median,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Mode,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Median,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Mode,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Median,40,[   0  128  257  530  642  694  966 1046]
40,50,20,Mode,40,[   0  128  257  530  642  694  966 1046]
