St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  204  937 1180]
40,50,20,Mode,40,[   0  253  855 1180]
40,50,20,Median,40,[   0  204  766 1058 1180]
40,50,20,Mode,40,[   0  253  855 1058 1180]
40,50,20,Median,40,[   0  204  685 1180]
40,50,20,Mode,40,[   0  253  685 1058 1180]
40,50,20,Median,40,[   0  227  685 1180]
40,50,20,Mode,40,[   0  253  685 1058 1180]
40,50,20,Median,40,[   0   91  227  685  855  937 1180]
40,50,20,Mode,40,[   0  253  685  855  937 1180]
40,50,20,Median,40,[   0   91  227  685  855  937 1180]
40,50,20,Mode,40,[   0  253  685  855  937 1180]
40,50,20,Median,40,[   0   91  227  685  855  937 1058 1125 1180]
40,50,20,Mode,40,[   0   89  253  685  855  937 1058 1135 1180]
40,50,20,Median,40,[   0   91  194  253  685  855  937 1058 1125 1180]
40,50,20,Mode,40,[   0   89  194  253  685  855  937 1058 1135 1180]
40,50,20,Median,40,[   0   91  194  253  685  855  937 1058 1125 1180]
40,50,20,Mode,40,[   0   89  194  253  685  855  937 1058 1135 1180]
