St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  415  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  418  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  418  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  418  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  415  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  173  240  415  735 1180]
40,50,20,Mode,40,[   0  415  735 1180]
40,50,20,Median,40,[   0  173  240  415  498  735  909  984 1180]
40,50,20,Mode,40,[   0  173  415  735  909  968 1180]
40,50,20,Median,40,[   0  173  240  415  498  735  829  909  984 1180]
40,50,20,Mode,40,[   0  173  415  735  805  909  968 1180]
40,50,20,Median,40,[   0   83  173  240  415  735  909  984 1180]
40,50,20,Mode,40,[   0   83  415  735  909  968 1180]
