St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  375  946 1180]
40,50,20,Mode,40,[   0   77  946 1180]
40,50,20,Median,40,[   0   77  946 1180]
40,50,20,Mode,40,[   0   77  946 1180]
40,50,20,Median,40,[   0   77  946 1180]
40,50,20,Mode,40,[   0   77  946 1180]
40,50,20,Median,40,[   0   77  946 1180]
40,50,20,Mode,40,[   0   77  946 1180]
40,50,20,Median,40,[   0   77  187  946 1180]
40,50,20,Mode,40,[   0   77  187  946 1180]
40,50,20,Median,40,[   0   77  187  946 1180]
40,50,20,Mode,40,[   0   77  187  375  440  946 1080 1180]
40,50,20,Median,40,[   0   77  187  490  621  881  946 1180]
40,50,20,Mode,40,[   0   77  187  375  440  881  946 1080 1180]
40,50,20,Median,40,[   0   77  187  375  440  490  621  881  946 1180]
40,50,20,Mode,40,[   0   77  187  375  440  490  621  881  946 1080 1180]
40,50,20,Median,40,[   0   77  187  375  440  490  621  881  946 1180]
40,50,20,Mode,40,[   0   77  187  375  440  490  621  881  946 1080 1180]
