St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1368 2759]
40,50,20,Mode,40,[   0 1368 2309 2759]
40,50,20,Median,40,[   0  546 1368 2293 2759]
40,50,20,Mode,40,[   0  546 1368 2309 2759]
40,50,20,Median,40,[   0  546 1089 2293 2759]
40,50,20,Mode,40,[   0  546 1089 1368 2309 2759]
40,50,20,Median,40,[   0  546 1089 1915 2309 2759]
40,50,20,Mode,40,[   0  546 1089 1368 1919 2309 2759]
40,50,20,Median,40,[   0  203 1089 1915 2309 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1919 2309 2759]
40,50,20,Median,40,[   0  203  546 1089 1368 1919 2309 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1919 2309 2759]
40,50,20,Median,40,[   0  203  546 1089 1368 1919 2309 2759]
40,50,20,Mode,40,[   0  203  546 1089 1368 1919 2309 2759]
40,50,20,Median,40,[   0  203 1089 1368 1436 1911 2309 2759]
40,50,20,Mode,40,[   0  203 1089 1368 1436 1919 2309 2759]
40,50,20,Median,40,[   0  203 1089 1368 1436 1527 1911 2309 2759]
40,50,20,Mode,40,[   0  203 1089 1368 1436 1527 1919 2309 2759]
