St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  411 1304 2211]
40,50,20,Mode,40,[   0  411 1304 2211]
40,50,20,Median,40,[   0  411 1304 2211]
40,50,20,Mode,40,[   0  411 1304 2211]
40,50,20,Median,40,[   0  411  803 1304 2211]
40,50,20,Mode,40,[   0  411  765 1304 2211]
40,50,20,Median,40,[   0  411  972 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
40,50,20,Median,40,[   0  411  972 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
40,50,20,Median,40,[   0  411  972 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
40,50,20,Median,40,[   0  411  972 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
40,50,20,Median,40,[   0  411  972 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
40,50,20,Median,40,[   0  411 1005 1304 2211]
40,50,20,Mode,40,[   0  411  949 1304 2211]
