St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  567 2307 2956]
40,50,20,Mode,40,[   0  192 2350 2956]
40,50,20,Median,40,[   0 1983 2350 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2956]
40,50,20,Median,40,[   0  192 1983 2350 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2956]
40,50,20,Median,40,[   0  192 1989 2350 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2956]
40,50,20,Median,40,[   0  192 1989 2350 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2956]
40,50,20,Median,40,[   0  192 1989 2350 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2956]
40,50,20,Median,40,[   0  192 1989 2350 2804 2956]
40,50,20,Mode,40,[   0  192 1989 2350 2804 2956]
40,50,20,Median,40,[   0  349  609 1989 2350 2494 2633 2956]
40,50,20,Mode,40,[   0  349  609 1989 2350 2494 2633 2956]
40,50,20,Median,40,[   0  192  349  609 1325 1675 1989 2350 2494 2633 2804 2956]
40,50,20,Mode,40,[   0  349  609 1989 2350 2494 2633 2804 2956]
