St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1409 3276 3353]
40,50,20,Mode,40,[   0 1534 3276 3353]
40,50,20,Median,40,[   0 1089 1534 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2655 3276 3353]
40,50,20,Median,40,[   0 1089 1534 2810 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 2810 3276 3353]
40,50,20,Median,40,[   0 1089 1534 1670 2810 3276 3353]
40,50,20,Mode,40,[   0 1089 1534 1658 2810 3276 3353]
