St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  841 1046]
40,50,20,Mode,40,[   0  546 1046]
40,50,20,Median,40,[   0  284  546  841 1046]
40,50,20,Mode,40,[   0  284  546 1046]
40,50,20,Median,40,[   0  284  546 1046]
40,50,20,Mode,40,[   0  284  546 1046]
40,50,20,Median,40,[   0  284  546  749  841  956 1046]
40,50,20,Mode,40,[   0  284  546  749  841  956 1046]
40,50,20,Median,40,[   0  284  457  546  749  841  956 1046]
40,50,20,Mode,40,[   0  284  457  546  749  841  956 1046]
40,50,20,Median,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Mode,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Median,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Mode,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Median,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Mode,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Median,40,[   0  225  284  457  546  749  841  956 1046]
40,50,20,Mode,40,[   0  225  284  457  546  749  841  956 1046]
