St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  179 1046]
40,50,20,Mode,40,[   0   59  566 1046]
40,50,20,Median,40,[   0  109  470  909 1046]
40,50,20,Mode,40,[   0   59  416  803 1046]
40,50,20,Median,40,[   0  109  566  909 1046]
40,50,20,Mode,40,[   0   59  566  803 1046]
40,50,20,Median,40,[   0   59  179  416  594  909 1046]
40,50,20,Mode,40,[   0   59  566  803 1046]
40,50,20,Median,40,[   0   59  179  416  566  803  958 1046]
40,50,20,Mode,40,[   0   59  179  416  566  803  958 1046]
40,50,20,Median,40,[   0   59  179  416  470  566  803  958 1046]
40,50,20,Mode,40,[   0   59  179  416  470  566  803  958 1046]
40,50,20,Median,40,[   0   59  179  231  416  470  566  803  958 1046]
40,50,20,Mode,40,[   0   59  179  231  416  470  566  803  958 1046]
40,50,20,Median,40,[   0   59  179  231  416  470  566  803  909  961 1046]
40,50,20,Mode,40,[   0   59  179  231  416  470  566  803  909  958 1046]
40,50,20,Median,40,[   0   59  109  179  231  416  470  566  803  958 1046]
40,50,20,Mode,40,[   0   59  109  179  231  416  470  566  803  958 1046]
