St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  686  924 1046]
40,50,20,Mode,40,[   0  725  952 1046]
40,50,20,Median,40,[   0  597  725  924 1046]
40,50,20,Mode,40,[   0  597  725  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
40,50,20,Median,40,[   0  597  725  860  952 1046]
40,50,20,Mode,40,[   0  597  725  860  952 1046]
