St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1557 1908 2053]
40,50,20,Mode,40,[   0 1643 2053]
40,50,20,Median,40,[   0 1643 2053]
40,50,20,Mode,40,[   0 1643 2053]
40,50,20,Median,40,[   0 1497 1732 1950 2053]
40,50,20,Mode,40,[   0  160 1497 1643 1908 2053]
40,50,20,Median,40,[   0  160  863 1497 1732 1950 2053]
40,50,20,Mode,40,[   0  160  863 1497 1643 1908 2053]
40,50,20,Median,40,[   0  160  863 1497 1643 1733 1950 2053]
40,50,20,Mode,40,[   0  160  863 1497 1643 1733 1908 2053]
40,50,20,Median,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Mode,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Median,40,[   0 1477 1643 1733 1908 1951 2053]
40,50,20,Mode,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Median,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Mode,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Median,40,[   0 1497 1643 1733 1908 1951 2053]
40,50,20,Mode,40,[   0 1497 1643 1733 1908 1951 2053]
