St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  253  881 1180]
40,50,20,Mode,40,[   0  253  771 1180]
40,50,20,Median,40,[   0  199  439  951 1180]
40,50,20,Mode,40,[   0  253  429  771 1180]
40,50,20,Median,40,[   0  199  429 1034 1180]
40,50,20,Mode,40,[   0  253  429 1038 1180]
40,50,20,Median,40,[   0  160  429  605  771 1038 1180]
40,50,20,Mode,40,[   0  429  555  771 1038 1180]
40,50,20,Median,40,[   0  148  253  429  605  771 1038 1180]
40,50,20,Mode,40,[   0  148  253  429  555  771 1038 1180]
40,50,20,Median,40,[   0  148  253  429  605  771 1038 1180]
40,50,20,Mode,40,[   0  148  253  429  555  771  881 1038 1180]
40,50,20,Median,40,[   0   42  148  253  429  605  771 1038 1180]
40,50,20,Mode,40,[   0   42  148  253  429  555  771  881 1038 1180]
40,50,20,Median,40,[   0   42  148  253  429  605  771 1038 1180]
40,50,20,Mode,40,[   0   42  148  253  429  555  771  881 1038 1180]
40,50,20,Median,40,[   0   42  148  253  429  555  674  771 1038 1180]
40,50,20,Mode,40,[   0   42  148  253  429  555  656  771  881 1038 1180]
