St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  491 1501 2017]
40,50,20,Mode,40,[   0  441 1558 2017]
40,50,20,Median,40,[   0  441 1053 1501 2017]
40,50,20,Mode,40,[   0  441 1558 2017]
40,50,20,Median,40,[   0  441  733 1501 2017]
40,50,20,Mode,40,[   0  441  733 1558 2017]
40,50,20,Median,40,[   0  441  733 1053 1328 1558 2017]
40,50,20,Mode,40,[   0  441  733 1053 1328 1558 2017]
40,50,20,Median,40,[   0   64  441  733 1053 1328 1558 2017]
40,50,20,Mode,40,[   0   64  441  733 1053 1328 1558 2017]
40,50,20,Median,40,[   0   64  441  733 1053 1328 2017]
40,50,20,Mode,40,[   0   64  441  733 1053 1328 1558 1867 2017]
40,50,20,Median,40,[   0   64  441  733 1052 1328 2017]
40,50,20,Mode,40,[   0   64  441  733 1053 1328 1558 1867 2017]
40,50,20,Median,40,[   0   64  323  441  733 1052 1328 1867 2017]
40,50,20,Mode,40,[   0   64  323  441  733 1053 1328 1558 1867 2017]
40,50,20,Median,40,[   0   64  323  441  733 1052 1328 1501 1558 1867 2017]
40,50,20,Mode,40,[   0   64  323  441  733 1053 1328 1501 1558 1867 2017]
