St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  822 1180]
40,50,20,Mode,40,[   0  822 1180]
40,50,20,Median,40,[   0  813 1180]
40,50,20,Mode,40,[   0  822 1180]
40,50,20,Median,40,[   0  186  670  822 1059 1180]
40,50,20,Mode,40,[   0  326  670  822 1059 1180]
40,50,20,Median,40,[   0  326  670  822 1059 1180]
40,50,20,Mode,40,[   0  186  670  822 1059 1180]
40,50,20,Median,40,[   0  326  670  822 1059 1134 1180]
40,50,20,Mode,40,[   0  186  670  822 1059 1134 1180]
40,50,20,Median,40,[   0   78  186  670  822 1059 1134 1180]
40,50,20,Mode,40,[   0   78  186  670  822 1059 1134 1180]
40,50,20,Median,40,[   0   78  186  670  822  995 1059 1134 1180]
40,50,20,Mode,40,[   0   78  186  670  822  995 1059 1134 1180]
40,50,20,Median,40,[   0   78  186  670  822  995 1059 1134 1180]
40,50,20,Mode,40,[   0   78  186  670  822  995 1059 1134 1180]
40,50,20,Median,40,[   0   78  186  670  822  995 1059 1134 1180]
40,50,20,Mode,40,[   0   78  186  670  822  995 1059 1134 1180]
