St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  210  681 1046]
40,50,20,Mode,40,[   0  210 1046]
40,50,20,Median,40,[   0  210  667  853 1046]
40,50,20,Mode,40,[   0  210  558  794 1046]
40,50,20,Median,40,[   0  210  558  681  911 1046]
40,50,20,Mode,40,[   0  210  558  681  853 1046]
40,50,20,Median,40,[   0  210  558  681  794  957 1046]
40,50,20,Mode,40,[   0  210  558  681  794  957 1046]
40,50,20,Median,40,[   0   73  210  558  681  794  957 1046]
40,50,20,Mode,40,[   0   73  210  558  681  794  957 1046]
40,50,20,Median,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Mode,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Median,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Mode,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Median,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Mode,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Median,40,[   0   73  210  558  681  794  853  957 1046]
40,50,20,Mode,40,[   0   73  210  558  681  794  853  957 1046]
