St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  567 1046]
40,50,20,Mode,40,[   0  649 1046]
40,50,20,Median,40,[   0  117  608 1046]
40,50,20,Mode,40,[   0  649 1046]
40,50,20,Median,40,[   0  558  649 1046]
40,50,20,Mode,40,[   0  558  649 1046]
40,50,20,Median,40,[   0  558  649 1046]
40,50,20,Mode,40,[   0  558  649 1046]
40,50,20,Median,40,[   0  558  649 1046]
40,50,20,Mode,40,[   0  558  649 1046]
40,50,20,Median,40,[   0  558  649 1046]
40,50,20,Mode,40,[   0  558  649 1046]
40,50,20,Median,40,[   0  558  656 1046]
40,50,20,Mode,40,[   0  558  656 1046]
40,50,20,Median,40,[   0  558  656 1046]
40,50,20,Mode,40,[   0  558  656 1046]
40,50,20,Median,40,[   0  558  656 1046]
40,50,20,Mode,40,[   0  558  656 1046]
