St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  124 1046]
40,50,20,Mode,40,[   0  124  485 1046]
40,50,20,Median,40,[   0  124  485  752 1046]
40,50,20,Mode,40,[   0  124  485 1046]
40,50,20,Median,40,[   0  124  485  752 1046]
40,50,20,Mode,40,[   0  124  485 1046]
40,50,20,Median,40,[   0  124  201  485  701  855 1046]
40,50,20,Mode,40,[   0  124  201  485  701  855 1046]
40,50,20,Median,40,[   0  124  201  485  701  855 1046]
40,50,20,Mode,40,[   0  124  201  485  701  855 1046]
40,50,20,Median,40,[   0  124  201  485  701  855 1046]
40,50,20,Mode,40,[   0  124  201  485  701  855 1046]
40,50,20,Median,40,[   0  124  201  485  701  855 1046]
40,50,20,Mode,40,[   0  124  201  485  701  855 1046]
40,50,20,Median,40,[   0  124  201  485  701  855 1046]
40,50,20,Mode,40,[   0  124  201  485  701  855 1046]
40,50,20,Median,40,[   0  124  201  265  485  701  855 1005 1046]
40,50,20,Mode,40,[   0  124  201  265  485  701  855 1005 1046]
